transaction_id,customer_id,transaction_date,transaction_type,merchant_category,amount_eur,country,customer_segment
1,28,2025-04-07 14:15:47,Online Payment,Shopping,65.61,Senegal,Standard
2,303,2025-09-13 23:13:54,Transfer,Utilities,301.98,France,Premium
3,609,2025-03-09 14:05:03,Card Payment,Groceries,296.13,Spain,Standard
4,882,2025-08-30 02:39:27,Online Payment,Travel,112.8,Senegal,Standard
5,18,2025-01-31 14:29:23,Transfer,Groceries,329.38,Germany,Business
6,519,2025-11-24 19:32:08,Card Payment,Travel,129.95,France,Standard
7,551,2025-04-15 05:39:25,Transfer,Shopping,59.32,UK,Premium
8,550,2025-05-03 02:06:29,Card Payment,Transport,96.5,Senegal,Standard
9,251,2025-01-29 11:15:39,Card Payment,Travel,39.22,Senegal,Standard
10,683,2025-12-26 00:24:47,Cash Withdrawal,Restaurants,40.24,Senegal,Standard
11,168,2025-05-13 06:04:44,Card Payment,Entertainment,318.57,France,Premium
12,381,2025-01-16 12:11:50,Card Payment,Shopping,221.22,Senegal,Standard
13,827,2025-11-18 02:48:21,Card Payment,Transport,82.57,Germany,Standard
14,509,2025-03-27 13:23:13,Card Payment,Entertainment,21.35,UK,Standard
15,162,2025-03-01 08:18:57,Card Payment,Transport,268.81,Germany,Standard
16,759,2025-07-06 13:56:37,Transfer,Groceries,834.33,Senegal,Standard
17,943,2025-12-02 15:16:07,Card Payment,Groceries,336.19,Senegal,Premium
18,230,2025-02-09 20:48:32,Card Payment,Travel,275.18,Germany,Standard
19,382,2025-01-24 14:35:50,Card Payment,Groceries,57.91,France,Standard
20,71,2025-02-14 20:08:14,Online Payment,Shopping,233.19,UK,Standard
21,468,2025-11-15 08:49:55,Card Payment,Utilities,91.02,Senegal,Standard
22,476,2025-10-07 08:55:29,Card Payment,Healthcare,299.35,France,Standard
23,155,2025-11-22 00:20:57,Card Payment,Travel,12.05,Germany,Standard
24,974,2025-02-23 07:28:15,Card Payment,Travel,510.91,Senegal,Premium
25,543,2025-03-14 10:11:17,Online Payment,Travel,150.15,Senegal,Standard
26,96,2025-12-25 13:33:43,Card Payment,Utilities,269.7,France,Standard
27,470,2025-11-23 14:21:28,Online Payment,Transport,176.33,UK,Standard
28,77,2025-05-02 10:37:10,Transfer,Groceries,533.28,Senegal,Business
29,268,2025-06-12 16:29:03,Online Payment,Travel,211.71,Senegal,Standard
30,279,2025-02-25 05:39:29,Card Payment,Utilities,45.15,Germany,Standard
31,109,2025-07-03 07:33:35,Card Payment,Healthcare,97.64,Senegal,Standard
32,463,2025-12-18 11:04:34,Card Payment,Shopping,256.48,Senegal,Standard
33,847,2025-03-17 03:19:15,Cash Withdrawal,Groceries,136.86,France,Premium
34,729,2025-06-03 09:28:20,Card Payment,Entertainment,121.89,Senegal,Standard
35,840,2025-10-12 20:01:45,Online Payment,Groceries,285.87,Germany,Standard
36,256,2025-01-07 02:14:43,Card Payment,Transport,242.15,France,Standard
37,851,2025-07-10 22:56:54,Cash Withdrawal,Utilities,43.56,France,Standard
38,961,2025-02-03 07:11:59,Transfer,Shopping,275.64,France,Standard
39,925,2025-06-19 04:27:39,Transfer,Restaurants,32.13,UK,Standard
40,44,2025-07-22 18:03:48,Online Payment,Groceries,54.56,Senegal,Standard
41,31,2025-04-06 10:00:42,Card Payment,Travel,55.98,France,Standard
42,287,2025-05-06 23:34:00,Card Payment,Restaurants,15.22,Senegal,Standard
43,303,2025-03-12 15:15:49,Card Payment,Healthcare,45.98,France,Premium
44,205,2025-01-10 13:55:34,Transfer,Utilities,382.15,UK,Premium
45,801,2025-10-17 18:17:29,Cash Withdrawal,Healthcare,165.63,Portugal,Standard
46,330,2025-01-16 10:13:42,Card Payment,Restaurants,12.69,Spain,Standard
47,60,2025-04-30 05:48:42,Online Payment,Healthcare,161.18,France,Standard
48,103,2025-01-29 07:59:18,Card Payment,Utilities,83.63,Germany,Standard
49,590,2025-03-30 06:24:41,Online Payment,Travel,219.33,Senegal,Premium
50,243,2025-12-25 12:48:15,Transfer,Entertainment,274.62,Senegal,Standard
51,971,2025-09-10 19:44:17,Transfer,Restaurants,342.23,Senegal,Premium
52,317,2025-04-23 00:43:32,Card Payment,Groceries,126.5,Senegal,Business
53,540,2025-03-08 12:24:23,Card Payment,Entertainment,551.56,Senegal,Premium
54,735,2025-12-27 05:09:26,Card Payment,Entertainment,22.57,France,Standard
55,793,2025-12-06 14:24:11,Card Payment,Entertainment,288.36,Spain,Standard
56,601,2025-08-12 23:16:29,Card Payment,Shopping,100.17,Senegal,Standard
57,984,2025-12-22 22:20:40,Card Payment,Entertainment,56.39,France,Standard
58,806,2025-05-31 04:38:11,Card Payment,Restaurants,466.49,Portugal,Business
