transaction_amount,transaction_hour,customer_transaction_count,customer_average_amount,international_transaction,failed_transactions,amount_deviation,amount_ratio,high_amount_flag,night_transaction,failed_transaction_ratio,actual_fraud,fraud_probability,risk_score,risk_level
880.49,15,20,76.89,1,1,803.6,11.45129405644427,1,0,0.05,0,0.795,79.5,High Risk
1134.16,4,17,90.34,1,0,1043.8200000000002,12.55435023245517,1,1,0.0,1,0.775,77.5,High Risk
975.26,10,27,43.63,1,1,931.63,22.352968141187255,1,0,0.037037037037037035,1,0.775,77.5,High Risk
91.47,0,26,55.51,1,1,35.96,1.6478112051882543,0,1,0.038461538461538464,0,0.66,66.0,Medium Risk
620.95,9,32,118.22,1,2,502.73,5.252495347656911,1,0,0.0625,0,0.65,65.0,Medium Risk
815.92,11,11,191.14,0,2,624.78,4.268703568065293,1,0,0.18181818181818182,0,0.65,65.0,Medium Risk
69.49,0,25,129.78,0,1,-60.290000000000006,0.5354445985513946,0,1,0.04,0,0.645,64.5,Medium Risk
1662.25,2,36,68.86,0,3,1593.39,24.13955852454255,1,1,0.08333333333333333,1,0.645,64.5,Medium Risk
79.59,1,24,144.64,0,1,-65.04999999999998,0.5502627212389382,0,1,0.041666666666666664,0,0.64,64.0,Medium Risk
1389.55,3,16,37.55,0,1,1352.0,37.00532623169108,1,1,0.0625,1,0.635,63.5,Medium Risk
1171.49,9,13,281.91,0,4,889.5799999999999,4.155546096271859,1,0,0.3076923076923077,0,0.635,63.5,Medium Risk
742.52,2,14,84.77,1,1,657.75,8.759230859974048,1,1,0.07142857142857142,1,0.62,62.0,Medium Risk
1092.99,6,22,302.41,0,3,790.5799999999999,3.6142654012764126,1,0,0.13636363636363635,0,0.61,61.0,Medium Risk
508.33,10,13,99.23,1,2,409.09999999999997,5.122745137559206,1,0,0.15384615384615385,0,0.6,60.0,Medium Risk
848.78,5,33,121.17,1,0,727.61,7.004869192044235,1,1,0.0,0,0.6,60.0,Medium Risk
512.36,17,24,122.14,1,2,390.22,4.194858359259865,1,0,0.08333333333333333,0,0.565,56.49999999999999,Medium Risk
517.13,18,6,68.81,1,1,448.32,7.515332073826478,1,0,0.16666666666666666,0,0.56,56.00000000000001,Medium Risk
193.27,18,14,47.03,0,1,146.24,4.109504571550074,1,0,0.07142857142857142,0,0.545,54.50000000000001,Medium Risk
798.98,5,16,200.43,0,2,598.55,3.9863293918076135,1,1,0.125,0,0.545,54.50000000000001,Medium Risk
608.72,20,33,85.69,1,2,523.03,7.10374606138406,1,0,0.06060606060606061,0,0.54,54.0,Medium Risk
733.44,2,27,104.53,0,0,628.9100000000001,7.016550272649001,1,1,0.0,0,0.505,50.5,Medium Risk
533.5,4,17,141.65,1,1,391.85,3.766325450052947,1,1,0.058823529411764705,0,0.5,50.0,Medium Risk
1060.83,17,12,133.07,0,3,927.76,7.971969640039077,1,0,0.25,1,0.495,49.5,Medium Risk
705.18,2,27,93.35,1,2,611.8299999999999,7.554151044456347,1,1,0.07407407407407407,0,0.49,49.0,Medium Risk
12.01,15,21,86.14,1,1,-74.13,0.13942419317390295,0,0,0.047619047619047616,0,0.49,49.0,Medium Risk
853.02,5,6,104.45,1,2,748.5699999999999,8.166778362853039,1,1,0.3333333333333333,1,0.49,49.0,Medium Risk
755.2,11,15,147.36,0,2,607.84,5.12486427795874,1,0,0.13333333333333333,0,0.485,48.5,Medium Risk
1231.81,20,24,74.82,0,1,1156.99,16.463646083934776,1,0,0.041666666666666664,0,0.48,48.0,Medium Risk
111.81,3,24,70.46,1,0,41.35000000000001,1.5868577916548399,0,1,0.0,0,0.48,48.0,Medium Risk
417.73,12,8,122.13,1,2,295.6,3.420371735036437,1,0,0.25,0,0.475,47.5,Medium Risk
333.86,8,1,90.05,0,1,243.81,3.707495835646863,1,0,1.0,0,0.47,47.0,Medium Risk
534.64,5,19,106.68,1,6,427.96,5.011623547056617,1,1,0.3157894736842105,0,0.47,47.0,Medium Risk
418.18,15,11,96.79,0,2,321.39,4.320487653683232,1,0,0.18181818181818182,0,0.46,46.0,Medium Risk
284.97,11,14,24.76,0,4,260.21000000000004,11.50928917609047,1,0,0.2857142857142857,0,0.455,45.5,Medium Risk
532.38,1,16,122.0,1,3,410.38,4.363770491803279,1,1,0.1875,0,0.455,45.5,Medium Risk
517.6,5,1,54.55,0,1,463.05,9.488542621448213,1,1,1.0,0,0.455,45.5,Medium Risk
125.78,3,10,175.63,1,1,-49.849999999999994,0.7161646643511929,0,1,0.1,0,0.435,43.5,Medium Risk
680.88,10,15,68.19,0,2,612.69,9.985041794984602,1,0,0.13333333333333333,0,0.435,43.5,Medium Risk
520.41,23,21,58.52,0,1,461.89,8.892857142857142,1,1,0.047619047619047616,0,0.415,41.5,Medium Risk
820.88,8,27,180.47,0,1,640.41,4.5485676289688035,1,0,0.037037037037037035,0,0.415,41.5,Medium Risk
338.45,2,17,246.04,0,2,92.41,1.3755893350674686,0,1,0.11764705882352941,0,0.41,41.0,Medium Risk
87.59,2,22,149.39,1,0,-61.79999999999998,0.5863176919472523,0,1,0.0,0,0.405,40.5,Medium Risk
337.89,0,25,220.19,0,3,117.69999999999999,1.5345383532403833,0,1,0.12,0,0.405,40.5,Medium Risk
23.48,20,11,145.19,1,0,-121.71,0.1617191266616158,0,0,0.0,0,0.4,40.0,Medium Risk
77.6,3,9,128.19,0,2,-50.59,0.6053514314689133,0,1,0.2222222222222222,0,0.395,39.5,Medium Risk
535.69,2,18,137.48,0,2,398.21000000000004,3.896494035496073,1,1,0.1111111111111111,1,0.395,39.5,Medium Risk
350.39,13,16,97.89,0,2,252.5,3.5794258861987944,1,0,0.125,0,0.395,39.5,Medium Risk
44.09,1,24,101.5,0,1,-57.41,0.434384236453202,0,1,0.041666666666666664,0,0.385,38.5,Medium Risk
866.31,21,13,78.78,0,2,787.53,10.996572734196496,1,0,0.15384615384615385,1,0.385,38.5,Medium Risk
588.81,11,12,32.46,0,1,556.3499999999999,18.13955637707948,1,0,0.08333333333333333,0,0.385,38.5,Medium Risk
6.65,15,28,63.89,1,1,-57.24,0.10408514634528096,0,0,0.03571428571428571,0,0.38,38.0,Medium Risk
787.54,1,23,200.31,0,1,587.23,3.9316060106834403,1,1,0.043478260869565216,0,0.375,37.5,Medium Risk
935.19,6,36,179.15,0,2,756.0400000000001,5.220150711694111,1,0,0.05555555555555555,0,0.375,37.5,Medium Risk
791.07,10,20,38.68,0,0,752.3900000000001,20.451654601861428,1,0,0.0,0,0.375,37.5,Medium Risk
161.16,0,26,137.16,1,2,24.0,1.1749781277340332,0,1,0.07692307692307693,0,0.375,37.5,Medium Risk
112.6,1,10,88.82,1,2,23.78,1.2677324926818285,0,1,0.2,0,0.37,37.0,Medium Risk
114.49,0,14,98.62,0,2,15.86999999999999,1.1609207057392008,0,1,0.14285714285714285,0,0.37,37.0,Medium Risk
45.17,1,24,54.48,0,1,-9.309999999999995,0.8291116005873715,0,1,0.041666666666666664,0,0.37,37.0,Medium Risk
518.16,9,1,130.68,0,1,387.47999999999996,3.9651056014692374,1,0,1.0,0,0.37,37.0,Medium Risk
359.54,6,23,248.79,0,2,110.75000000000003,1.44515454801238,0,0,0.08695652173913043,0,0.365,36.5,Medium Risk
723.78,5,17,53.19,0,4,670.5899999999999,13.607445008460237,1,1,0.23529411764705882,0,0.36,36.0,Medium Risk
160.98,13,9,47.85,0,4,113.13,3.364263322884012,1,0,0.4444444444444444,0,0.36,36.0,Medium Risk
375.99,7,1,99.95,0,1,276.04,3.761780890445223,1,0,1.0,0,0.35,35.0,Medium Risk
322.2,21,1,173.44,0,0,148.76,1.8577029520295203,0,0,0.0,0,0.35,35.0,Medium Risk
291.23,7,20,88.56,1,2,202.67000000000002,3.2885049683830174,1,0,0.1,0,0.35,35.0,Medium Risk
45.47,0,25,49.47,0,1,-4.0,0.9191429148979179,0,1,0.04,0,0.345,34.5,Medium Risk
241.47,12,17,112.5,1,1,128.97,2.1464,1,0,0.058823529411764705,0,0.345,34.5,Medium Risk
