transaction_id,customer_id,transaction_amount,country,transaction_type,device,transaction_hour,customer_transaction_count,customer_average_amount,international_transaction,failed_transactions,fraud
1,2620,180.8,Senegal,Card Payment,Tablet,8,18,162.16,0,0,0
2,420,410.93,Portugal,Card Payment,Tablet,13,22,201.6,1,1,0
3,953,76.35,Spain,Card Payment,Tablet,6,14,78.04,0,2,0
4,1719,58.02,France,Online Payment,Tablet,8,9,132.76,0,1,1
5,3301,392.49,France,Online Payment,Web,8,17,114.49,0,1,0
6,1379,38.87,Senegal,Card Payment,Web,3,8,137.75,0,0,0
7,1084,75.17,Senegal,Online Payment,Tablet,3,29,130.92,0,1,0
8,2262,73.08,United Kingdom,Cash Withdrawal,Tablet,6,14,109.58,0,2,0
9,934,143.61,United Kingdom,Card Payment,Mobile,3,1,49.56,0,6,0
10,3417,142.24,United Kingdom,Transfer,Web,11,9,42.52,0,2,0
11,3837,159.96,Portugal,Card Payment,Tablet,20,2,133.55,0,0,0
12,670,89.29,Germany,Online Payment,Web,20,25,187.29,0,2,0
13,1329,62.09,Senegal,Transfer,Mobile,10,16,134.12,0,1,0
14,3741,265.19,Spain,Cash Withdrawal,Mobile,20,8,53.64,0,3,0
15,2634,162.28,Germany,Transfer,Web,4,13,136.57,0,2,0
16,1077,415.89,Portugal,Online Payment,Tablet,12,16,106.0,0,0,0
17,567,130.27,Spain,Online Payment,Mobile,1,17,116.17,0,2,0
18,656,24.78,Portugal,Online Payment,Tablet,2,12,171.78,0,0,0
19,1918,63.64,Spain,Cash Withdrawal,Tablet,0,14,190.42,0,1,0
20,3625,158.06,Spain,Cash Withdrawal,Tablet,10,20,196.6,1,3,0
21,1859,88.79,Senegal,Cash Withdrawal,Tablet,5,5,131.32,0,0,0
22,2562,149.73,United Kingdom,Transfer,Mobile,11,1,135.28,0,0,0
23,3190,92.37,Spain,Card Payment,Tablet,10,11,99.81,0,2,0
24,1487,167.88,United Kingdom,Transfer,Mobile,7,19,40.28,0,1,0
25,351,131.88,Portugal,Online Payment,Mobile,17,15,74.03,0,2,0
26,1947,121.89,Spain,Transfer,Web,16,19,54.53,0,2,0
27,868,65.35,Spain,Transfer,Tablet,9,27,67.96,0,2,0
28,1530,367.68,Germany,Online Payment,Mobile,7,10,78.27,0,0,0
29,2410,475.94,Spain,Transfer,Tablet,7,28,110.55,1,1,0
30,242,90.7,France,Card Payment,Mobile,10,25,63.51,1,2,0
31,2741,64.94,Germany,Transfer,Tablet,4,16,179.13,0,3,0
32,2361,45.39,Germany,Transfer,Web,13,22,175.76,0,1,0
33,1766,184.48,United Kingdom,Online Payment,Web,14,22,127.78,0,1,0
34,2677,160.32,Portugal,Card Payment,Mobile,12,22,71.62,0,0,0
35,448,139.75,France,Transfer,Mobile,17,7,206.36,0,1,0
36,1141,350.75,Germany,Transfer,Mobile,14,12,55.8,0,4,0
37,402,99.85,Senegal,Card Payment,Mobile,7,12,64.48,0,3,0
38,876,63.27,Germany,Card Payment,Mobile,12,20,262.99,1,2,0
39,3796,56.24,Germany,Cash Withdrawal,Web,22,29,112.75,0,0,0
40,2277,108.87,Portugal,Online Payment,Mobile,6,17,168.75,0,0,0
41,2373,110.02,Portugal,Card Payment,Tablet,10,27,83.81,1,2,0
42,2060,226.25,Spain,Transfer,Mobile,16,22,52.07,1,3,0
43,2438,127.3,Senegal,Transfer,Web,3,8,136.27,0,2,0
44,2372,190.3,Spain,Card Payment,Tablet,2,29,76.53,0,4,0
45,2142,191.85,United Kingdom,Cash Withdrawal,Mobile,21,31,194.88,0,2,0
46,1622,204.61,France,Cash Withdrawal,Web,10,21,65.79,0,0,0
47,39,774.12,Germany,Card Payment,Mobile,17,1,165.96,0,0,0
48,3823,33.44,United Kingdom,Card Payment,Mobile,11,11,89.94,0,2,0
49,2226,67.74,Portugal,Cash Withdrawal,Tablet,20,22,112.99,0,4,0
50,2272,72.15,United Kingdom,Card Payment,Mobile,8,30,75.4,1,1,0
51,2267,65.53,France,Cash Withdrawal,Web,19,36,89.97,0,1,0
52,2816,94.23,Portugal,Cash Withdrawal,Tablet,15,29,235.06,0,2,0
53,209,663.63,Senegal,Online Payment,Web,1,30,44.18,1,2,0
54,2610,82.48,United Kingdom,Transfer,Tablet,14,17,338.05,0,0,0
55,40,9.09,Senegal,Card Payment,Tablet,4,9,94.49,0,2,0
56,2386,44.78,Spain,Transfer,Web,4,18,83.15,1,3,0
57,3822,103.34,Senegal,Cash Withdrawal,Mobile,21,20,162.11,0,2,0
58,3196,134.41,Spain,Online Payment,Tablet,23,41,34.08,0,4,0
59,3542,82.34,France,Transfer,Web,0,22,186.98,0,0,0
60,3205,83.8,Germany,Transfer,Web,5,14,183.05,0,0,0
61,3573,260.24,Senegal,Online Payment,Mobile,6,34,136.62,0,2,0
62,1251,193.46,France,Transfer,Mobile,21,27,158.57,0,2,0
63,3541,71.14,Senegal,Cash Withdrawal,Web,20,31,279.14,0,1,0
64,3456,85.49,Spain,Cash Withdrawal,Mobile,3,20,192.2,0,3,0
65,2379,97.82,United Kingdom,Card Payment,Mobile,19,13,346.33,0,1,0
66,1285,284.91,Germany,Card Payment,Web,18,32,53.62,0,3,0
67,1787,69.46,Senegal,Transfer,Web,13,19,31.37,1,2,0
68,1353,500.87,Spain,Cash Withdrawal,Tablet,3,24,78.4,0,1,0
69,1267,147.82,Portugal,Online Payment,Web,12,14,82.88,0,0,0
70,786,146.3,Germany,Online Payment,Tablet,23,31,82.56,0,4,0
71,1233,155.82,Germany,Card Payment,Web,9,34,183.94,0,0,0
72,2485,106.92,Portugal,Cash Withdrawal,Web,14,16,109.65,0,1,0
73,1939,335.93,Portugal,Transfer,Tablet,2,27,147.76,0,1,0
74,2537,130.46,United Kingdom,Card Payment,Mobile,21,16,144.69,0,1,0
75,604,128.47,Senegal,Card Payment,Mobile,15,29,146.08,0,3,0
76,1866,126.91,Germany,Transfer,Tablet,22,32,326.9,0,1,0
77,605,111.19,Portugal,Card Payment,Mobile,13,29,45.98,0,0,0
78,2851,227.51,Spain,Online Payment,Mobile,17,1,80.2,0,1,0
79,1870,159.72,France,Online Payment,Tablet,16,38,194.47,0,1,0
80,3892,76.59,Germany,Online Payment,Tablet,14,6,329.93,0,2,0
81,1945,114.56,Germany,Cash Withdrawal,Mobile,20,17,131.27,0,4,0
82,1985,50.51,Portugal,Transfer,Web,14,4,76.74,1,0,0
83,1113,149.53,United Kingdom,Cash Withdrawal,Tablet,2,23,273.07,1,2,0
84,2843,156.02,France,Transfer,Mobile,13,9,100.94,0,2,0
85,1704,283.82,Senegal,Transfer,Web,12,35,66.9,0,3,0
86,2849,95.29,Senegal,Online Payment,Web,0,21,219.63,0,2,0
87,1598,203.63,Germany,Transfer,Web,7,33,61.62,0,0,0
88,1593,210.36,United Kingdom,Online Payment,Tablet,5,2,261.54,0,2,0
89,2549,404.19,Spain,Card Payment,Web,18,20,292.12,0,2,1
90,2633,40.28,Germany,Transfer,Web,5,19,177.3,1,1,0
91,867,120.91,Germany,Cash Withdrawal,Web,12,24,215.64,0,1,0
92,1727,38.36,United Kingdom,Card Payment,Web,0,8,147.32,0,2,0
93,3900,55.23,United Kingdom,Transfer,Tablet,2,25,79.99,0,0,0
94,3090,64.44,Senegal,Transfer,Mobile,0,5,98.01,0,1,0
95,1940,111.99,Portugal,Card Payment,Tablet,6,20,149.72,0,0,0
96,1511,318.53,France,Card Payment,Mobile,9,18,96.3,1,2,1
97,1278,78.43,Spain,Online Payment,Web,22,7,456.91,0,1,0
98,3403,94.77,Portugal,Transfer,Mobile,22,28,60.78,0,3,0
99,2460,411.18,Senegal,Card Payment,Web,17,1,67.61,0,1,0
100,2073,58.93,Portugal,Cash Withdrawal,Mobile,13,9,74.25,0,1,0
101,3936,144.69,United Kingdom,Online Payment,Tablet,4,29,207.1,0,1,0
102,3955,204.98,Portugal,Cash Withdrawal,Tablet,17,43,202.09,0,2,0
103,3383,60.31,Portugal,Cash Withdrawal,Web,7,6,191.66,0,2,0
104,3612,559.77,Germany,Transfer,Web,18,16,95.29,0,0,0
105,118,72.2,Germany,Cash Withdrawal,Mobile,15,15,77.06,0,0,0
106,1395,60.87,United Kingdom,Cash Withdrawal,Tablet,0,1,165.8,0,1,0
107,989,166.04,Portugal,Online Payment,Web,17,19,126.77,0,1,0
108,2646,151.24,Portugal,Online Payment,Web,0,25,124.52,1,2,0
109,2834,71.51,France,Cash Withdrawal,Tablet,18,25,69.55,0,1,0
110,1409,28.68,Germany,Cash Withdrawal,Web,22,22,63.91,0,1,0
111,945,115.25,Senegal,Transfer,Web,3,7,74.36,0,1,0
112,2827,126.21,France,Transfer,Mobile,23,30,77.78,0,1,0
113,3114,185.65,Spain,Cash Withdrawal,Mobile,6,34,24.95,0,4,0
114,1239,64.23,Senegal,Transfer,Web,1,21,116.01,0,0,0
115,2857,130.23,France,Online Payment,Mobile,0,18,221.55,0,0,0
116,1805,148.94,United Kingdom,Transfer,Mobile,8,14,156.49,0,0,0
117,3368,166.59,Senegal,Online Payment,Web,2,15,130.83,0,2,0
118,622,639.27,France,Cash Withdrawal,Mobile,7,17,240.0,1,1,0
119,2484,281.82,Spain,Transfer,Tablet,12,11,42.6,0,2,0
120,3524,123.08,Spain,Online Payment,Web,18,22,174.6,0,0,0
121,3032,138.68,Senegal,Transfer,Tablet,6,25,65.05,0,4,0
122,983,88.21,France,Card Payment,Mobile,0,15,66.03,0,1,0
123,1925,128.67,United Kingdom,Card Payment,Mobile,9,15,146.55,0,2,0
124,1860,158.69,Senegal,Transfer,Web,20,32,84.2,0,0,0
