user_id,event_date,country,acquisition_channel,visited,signed_up,verified,funded,active
1,2025-11-24,Senegal,Organic,1,0,0,0,0
2,2025-05-06,France,Paid Search,1,0,0,0,0
3,2025-12-13,Portugal,Email,1,1,1,1,1
4,2025-09-16,Spain,Organic,1,1,1,0,0
5,2025-08-03,France,Referral,1,1,0,0,0
6,2025-01-04,France,Referral,1,1,1,0,0
7,2025-06-22,Senegal,Organic,1,1,1,1,1
8,2025-01-23,Portugal,Referral,1,1,0,0,0
9,2025-07-13,Senegal,Email,1,1,1,0,0
10,2025-07-05,Spain,Paid Search,1,0,0,0,0
11,2025-01-24,Portugal,Paid Search,1,0,0,0,0
12,2025-02-10,France,Organic,1,1,1,0,0
13,2025-03-25,United Kingdom,Social Media,1,1,1,0,0
14,2025-11-28,Senegal,Email,1,1,1,1,1
15,2025-05-19,Portugal,Email,1,1,1,0,0
16,2025-01-29,France,Organic,1,0,0,0,0
17,2025-07-25,United Kingdom,Organic,1,1,0,0,0
18,2025-06-11,France,Referral,1,1,0,0,0
19,2025-08-23,France,Social Media,1,1,1,1,1
20,2025-08-08,Spain,Referral,1,1,0,0,0
21,2025-03-12,Spain,Referral,1,1,1,1,1
22,2025-12-15,Germany,Email,1,1,1,0,0
23,2025-09-28,United Kingdom,Email,1,0,0,0,0
24,2025-01-06,Portugal,Organic,1,0,0,0,0
25,2025-10-02,United Kingdom,Social Media,1,1,1,1,0
26,2025-05-15,Spain,Paid Search,1,1,1,0,0
27,2025-11-24,Spain,Email,1,1,1,1,0
28,2025-09-29,Senegal,Email,1,1,1,0,0
29,2025-06-07,France,Organic,1,1,1,1,1
30,2025-02-05,Spain,Paid Search,1,1,1,1,1
31,2025-11-07,Germany,Paid Search,1,0,0,0,0
32,2025-12-20,France,Social Media,1,1,1,1,0
33,2025-08-20,Senegal,Paid Search,1,1,1,1,1
34,2025-04-23,Senegal,Organic,1,0,0,0,0
35,2025-01-31,France,Organic,1,0,0,0,0
36,2025-06-19,Senegal,Email,1,1,1,1,1
37,2025-10-20,Spain,Referral,1,1,1,1,1
38,2025-12-04,Germany,Social Media,1,1,1,0,0
39,2025-12-11,Portugal,Organic,1,1,1,0,0
40,2025-02-25,France,Paid Search,1,1,1,1,1
41,2025-05-08,Senegal,Referral,1,0,0,0,0
